feature,coefficient,absolute_coefficient
numeric__summary_length,-0.7009177459287566,0.7009177459287566
categorical__requester_type_Manager,0.3514974014867088,0.3514974014867088
categorical__jurisdiction_CA,0.3514974014867088,0.3514974014867088
categorical__summary_topic_litigation,0.3514974014867088,0.3514974014867088
categorical__summary_topic_general,0.34904175786041775,0.34904175786041775
categorical__received_weekday_Monday,-0.2828299486100365,0.2828299486100365
categorical__assigned_team_Commercial,-0.26268946259316056,0.26268946259316056
categorical__summary_topic_contracts,-0.26268946259316056,0.26268946259316056
categorical__assigned_team_Cyber,-0.23474017756634233,0.23474017756634233
categorical__practice_area_Privacy,-0.23474017756634233,0.23474017756634233
categorical__summary_topic_privacy,-0.23474017756634233,0.23474017756634233
categorical__received_weekday_Tuesday,-0.22184642937815235,0.22184642937815235
categorical__summary_topic_employment,-0.20309210784604365,0.20309210784604365
categorical__requester_type_HR,-0.20309210784604365,0.20309210784604365
categorical__jurisdiction_TX,-0.20309210784604365,0.20309210784604365
categorical__requester_type_Internal Counsel,-0.19584537001735772,0.19584537001735772
categorical__requester_type_Compliance,0.17974786784718222,0.17974786784718222
categorical__practice_area_Regulatory,0.17974786784718222,0.17974786784718222
categorical__assigned_team_Regulatory,0.17974786784718222,0.17974786784718222
categorical__received_weekday_Thursday,0.17974786784718222,0.17974786784718222
categorical__jurisdiction_IL,0.17974786784718222,0.17974786784718222
categorical__assigned_team_Corporate,0.16929389001323547,0.16929389001323547
categorical__received_weekday_Wednesday,0.16929389001323547,0.16929389001323547
categorical__requester_type_Finance,0.16929389001323547,0.16929389001323547
numeric__estimated_value_usd,0.1679113097897887,0.1679113097897887
categorical__received_weekday_Saturday,0.15565203146935105,0.15565203146935105
categorical__jurisdiction_DC,-0.15500233680234948,0.15500233680234948
categorical__requester_type_IT,-0.15500233680234948,0.15500233680234948
categorical__assigned_team_Employment,0.14840529364066515,0.14840529364066515
categorical__practice_area_Employment,0.14840529364066515,0.14840529364066515
categorical__practice_area_Corporate,-0.0933955725799251,0.0933955725799251
categorical__intake_channel_portal,0.08955604924924264,0.08955604924924264
categorical__intake_channel_email,-0.08953863790766269,0.08953863790766269
categorical__jurisdiction_WA,-0.07973784076399285,0.07973784076399285
categorical__requester_type_Security,-0.07973784076399285,0.07973784076399285
categorical__jurisdiction_MA,-0.06684409257580287,0.06684409257580287
categorical__requester_type_Sales,-0.06684409257580287,0.06684409257580287
categorical__jurisdiction_NY,-0.02655148000412225,0.02655148000412225
numeric__risk_score,-0.004278059971474168,0.004278059971474168
